category,latitud,longitud,distance
Airport,33.67237373059891,-117.86669107307566,66.54212241084159
Coffee Shop,33.66553237867065,-117.81879543182588,70.40387178791026
Bar,33.679125832453515,-117.84480786439414,67.60450114263908
Basketball Stadium,33.649582848147084,-117.84682273864746,69.60009525148176
Design Studio,33.673208551450855,-117.8453075752387,67.99079409436813
Elementary School,33.67401858426728,-117.81404818001528,70.166650050419
Tech Startup,33.68009737201706,-117.85149005333618,67.05713305308942
Vegetarian / Vegan Restaurant,33.685926336102675,-117.82579996153152,68.55453391260654
