category,latitud,longitud,distance
Bar,34.06714211512261,-118.40377586934241,0.5622568799443397
Coffee Shop,34.06738086665527,-118.40386203330507,0.5599144947664023
Design Studio,34.06668845252308,-118.40123855674595,0.6925647715642433
Elementary School,34.07359245303678,-118.40972495210883,0.9441327478051934
Tech Startup,34.06726889437438,-118.40277656034601,0.5368518029789675
Vegetarian / Vegan Restaurant,34.066035,-118.399275,0.7090835989853052
