,_id,nombre,latitud,longitud,category,distance,geometry
45,{'$oid': '61927efa6b0640e76d094fb4'},HKS Architects Inc,34.059759681151455,-118.39821646223012,Design Studio,1.297771744538025,"{'type': 'Point', 'coordinates': [-118.39821646223012, 34.059759681151455]}"
46,{'$oid': '61927efa6b0640e76d094fbe'},Beverly Hills Elementary School,34.06623458862305,-118.39128875732422,Elementary School,1.3701881411031636,"{'type': 'Point', 'coordinates': [-118.39128875732422, 34.06623458862305]}"
47,{'$oid': '61927efa6b0640e76d094fdb'},Craft,34.05933138483687,-118.41460488405077,Steakhouse,1.4246726877546974,"{'type': 'Point', 'coordinates': [-118.41460488405077, 34.05933138483687]}"
48,{'$oid': '61927efa6b0640e76d094f96'},"Star Communications, Inc.",34.067382,-118.39031399999999,Tech Startup,1.427853142705621,"{'type': 'Point', 'coordinates': [-118.39031399999999, 34.067382]}"
49,{'$oid': '61927efa6b0640e76d094fda'},Polo Lounge,34.0811997,-118.4142109,Hotel Bar,1.5047517127790535,"{'type': 'Point', 'coordinates': [-118.4142109, 34.0811997]}"
50,{'$oid': '61927efa6b0640e76d094fdd'},Windows Lounge,34.07295921884868,-118.38950343546801,Hotel Bar,1.5217446404528585,"{'type': 'Point', 'coordinates': [-118.38950343546801, 34.07295921884868]}"
51,{'$oid': '61927efa6b0640e76d094fde'},Bar Nineteen 12,34.081825889246126,-118.41338829447744,Hotel Bar,1.5270241085411425,"{'type': 'Point', 'coordinates': [-118.41338829447744, 34.081825889246126]}"
52,{'$oid': '61927efa6b0640e76d094fa4'},United Global System Error,34.081576,-118.414034,Airport Lounge,1.5320313479819476,"{'type': 'Point', 'coordinates': [-118.414034, 34.081576]}"
53,{'$oid': '61927efa6b0640e76d094fca'},Four Seasons Parking Lot,34.073277731998196,-118.38948121634579,Hotel Bar,1.5324837788883834,"{'type': 'Point', 'coordinates': [-118.38948121634579, 34.073277731998196]}"
54,{'$oid': '61927efa6b0640e76d094fd2'},Habibi Cafe - Four Seasons Hotel (Beverly Hills),34.073356533669234,-118.3894830290455,Hookah Bar,1.5346060705838074,"{'type': 'Point', 'coordinates': [-118.3894830290455, 34.073356533669234]}"
55,{'$oid': '61927efa6b0640e76d094f94'},Creative Mobile Labs,34.058177,-118.41479,Tech Startup,1.5399709255733662,"{'type': 'Point', 'coordinates': [-118.41479, 34.058177]}"
56,{'$oid': '61927efa6b0640e76d094fa1'},Mrs. Winston's Green Grocery,34.0593542668793,-118.41682245213639,Market,1.5511540551982532,"{'type': 'Point', 'coordinates': [-118.41682245213639, 34.0593542668793]}"
57,{'$oid': '61927efa6b0640e76d094fd1'},Terra,34.06042556986857,-118.41860686524765,Italian Restaurant,1.5854897788185571,"{'type': 'Point', 'coordinates': [-118.41860686524765, 34.06042556986857]}"
58,{'$oid': '61927efa6b0640e76d094f9b'},Foursquare,34.05870148717914,-118.41661454437438,Tech Startup,1.593527881147231,"{'type': 'Point', 'coordinates': [-118.41661454437438, 34.05870148717914]}"
59,{'$oid': '61927efa6b0640e76d094fbd'},Kabbalah Children's Academy - Day School,34.059092,-118.393505,School,1.6215415062165544,"{'type': 'Point', 'coordinates': [-118.393505, 34.059092]}"
60,{'$oid': '61927efa6b0640e76d094fd6'},Regency Club,34.05780899829767,-118.41576545485015,Hotel Bar,1.6245562324785614,"{'type': 'Point', 'coordinates': [-118.41576545485015, 34.05780899829767]}"
61,{'$oid': '61927efa6b0640e76d094f9f'},Fala Bar,34.059009,-118.418325,Mediterranean Restaurant,1.6740707392057141,"{'type': 'Point', 'coordinates': [-118.418325, 34.059009]}"
62,{'$oid': '61927efa6b0640e76d094fd4'},Mr. C Lobby Lounge Bar,34.05536765512344,-118.39860170672911,Hotel Bar,1.7198866293568236,"{'type': 'Point', 'coordinates': [-118.39860170672911, 34.05536765512344]}"
